organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,dataid,dataname,datacode,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Total
kKVNAgtxsgI,Marafa Sub County Hospital,11562,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,6,,,,50,,,,,56
WMjR7Dtk7aj,Maragua District Hospital,10686,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,1,,,,,1
dsaHh6LxrRQ,Maram Dispensary,16258,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,4,2,,1,,,,,,,,,7
Jm2yFzjQT78,Marenyo Health Centre,13773,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,2,4,4,,,,,,1,,,,11
mITAGtWnWEK,Mariakani Sub County Hospital,11566,Along mombasa -Nairobi highway past Mazeras from Mombasa,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,11,17,10,2,8,7,,4,,7,12,6,84
ZgoaGXYlUAa,Mariashoni Health Centre,15129,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,1,1,3,,,,,5
TGSQz8SdKu1,Marigat Sub District Hospital,15138,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,14,,,,,,,,14
t0xZjkBr5NR,Marindi Sub County Referral Hospital,13777,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,14,20,3,,5,,,,,,,,42
EzXf41XSStT,Marinyin Dispensary,15139,Disp.,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,14,,,,14
FzCzyHnlX47,Marurui Dispensary,13071,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,2,,,,2
hMj9Y1CRfLV,Mary Help of The Sick Hospital,10698,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,1,,,7,9,,,,,17
Ys64m0FQOFC,Mary Immaculate Clinic Mukuru,12982,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,9,,,,,2,,,,,,11
YNrTtyW64AI,Mary Immaculate Dispensary (Eldoret East),15147,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,3,,,,3,3,3,3,4,19
gQOARcEQVeO,Mary Immaculate Hospital (Nyeri North),10700,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,2,,,,,,2
KJrHBLlkXkW,Masaba Health Centre,13779,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,2,1,12,18,10,5,,1,,49
sSoQItUt4xV,Masaba Hospital Kisumu,18414,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,4,12,3,3,,,,,,,,,22
Kp2Kfseofdd,Masaba Sub-County  Hospital,13678,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,9,,,,,,12,,,21
gEEJqBQ2vqX,Maseno Mission Hospital,13781,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,6,22,9,2,9,4,8,6,,,14,8,88
c3fBhfh67ij,Maseno University Health Centre,13782,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,8,11,11,16,20,,,66
PjStrCd2jns,Mashambani Health Centre,17111,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,1,,,,,,1
RFhDgy6Fjq4,Mashuru Health Centre,15150,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,4,5,,1,,,,3,12,,,,25
QicfgXP0eIq,Masinga Sub County Hospital,12476,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,4,4,5,1,,2,16
w8NTKsoCH8b,Masogo Dispensary (Gem),17518,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,5,,,,1,,,,,7,13
eBEloHL6afC,Mata Dispensary (Taveta),11577,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,,,,1,1
Ox532fak7j5,Matangwe Community Health Centre,13787,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,7,,,,,,,,,7
GSBiP2fM5zp,Matata Nursing Hospital,13789,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,31,,,,,,,,,,31
Ki3E4GNuj27,Matayos Health Centre,16004,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,9,,6,,,,,,,,,15
rxOzjXrbCkg,Matete Health Centre,16005,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,3,4,,,,,,7
QyiacDkIae3,Mathare 3A (EDARP),13075,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,26,11,4,9,7,8,3,13,11,4,2,4,102
Nagz0cfJyr2,Mathare Football For Hope,20096,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,4,4,4,4,,,1,,,1,18
Ea0rQYGCbYx,Mathare North Health Centre,13077,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,5,,,,,6,,,,11
YaNze2Y77ss,Mathari Hospital,13076,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,9,,,4,3,,9,2,11,,,38
YdthQZVh45c,Matibabu Ukwala Clinic,17529,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,4,,4,1,4,1,,,,,10,24
YBUNnyEh8fI,Matiliku Sub County Hospital,12485,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,1,2,1,,,1,5
km06lXUQMHh,Matinyani Health Centre,12486,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,2,,3,3,4,,12
znBMfGldUnB,Matolani Dispensary,11578,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,,,5,,5
VdppIFvYta4,Matongo Dispensary,13790,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,,3,,,3
bi747puqsrA,Matoso Health Clinic,13793,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,2,3,,4,,,,5,,,,,14
ttGIIqGqFOt,Matsangoni Model Health Centre,11580,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,6,,1,,,,,1,,8
L5iJ74Rc587,Matulo Dispensary,16389,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,5,2,,,,,,,,,,7
zRb4VBix3Qg,Matunda Maternity Home,16007,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,3,10,,,,,13
ofrW88rUDJw,Matunda Sub County Hospital,16364,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,25,14,,,,,39
iuatmqJAf90,Matunda Sub County Hospital,16008,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,2,,,3,10,,3,,9,27
MdJ4Zb1k9o6,Matungu Sub County Hospital,16037,G.O.K,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,12,,22,,,,,,,,,34
KKCH0q292Wz,Matungulu Health Centre,16439,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,7,,,2,,9
ilI3ROaTEuf,Maturu Dispensary,16009,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,1,2,2,1,,,,2,8
ZYwmqGDRgY5,Matuu District Hospital,12488,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,1,,,,,27,,,28
evV553fu7J8,Matuu Mission Health Centre,12489,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,4,2,3,3,,1,2,2,,17
pnELrefcHxQ,Maua Methodist Hospital,12492,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,14,,,,16,,,30
OTwG6MsbpwJ,Maungu Model Health Centre,18858,Model Health Centre Near Maungu town along Mombsa  Voi high way,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,1,10,10,5,,,,,,,,16,42
s7kF3iHFhmi,Mautuma Sub County Hospital,16010,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,3,,9,,2,9,,2,7,5,37
bHv5fWNPV64,Mavoko Level 4 Hospital,11936,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,26,34,51,39,24,8,17,199
IcAY6Oco0YH,Mavueni Dispensary,18482,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,2,,,,,,,,,,,2
q2YkoU00i0A,Mawere Dispensary,13796,in maranda Division. Near the boarder of Siaya and Bondo,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,7,,,,,,,,,7
xGjBNHxGFlj,Mayuge Dispensary,23136,Level 2 facility,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,,,3,,3
pnHduTXb4hB,Mazeras Health centre,11585,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,,,3,,3
S9itqWWPUqs,Mbaga Dispensary,17672,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,,,1,,1
HG5fUsbdzk6,Mbaga Health Centre,13797,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,8,9,5,10,1,3,2,4,2,2,1,2,49
mu9d9jNXA6Y,Mbagathi District Hospital,13080,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,25,,,,41,66
pThhj7hcUnM,Mbale Health Centre,11589,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,2,,,,2
DbCCiO4AXdh,Mbale Rural Health Training Centre,16012,SITUATED OPPOSITE MUNG'OMA CHEMIST,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,6,1,17,,,,6,30
LNxAuLQveoD,Mbenuu H Centre,12499,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,1,,,,,1
rLTST5T975t,Mbita Sub-County Hospital,13798,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,48,,,,16,15,,14,19,21,133
Q0WwPORvQYR,Mbitini Catholic Dispensary,12502,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,1,1,2,,,5,4,2,,,15
x8kNXLmgEDu,Mbitini Health Centre,12521,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,,,,4,4
V0TLwliVcEl,Mbiuni Health Centre,12503,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,8,7,2,1,,1,19
UpSJbkTCmSw,Mbuguni Dispensary,11590,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,9,,,,,,,,,9
rwi0IMJ2HhP,Mbulia Dispensary,11591,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,1,,,,,,,1
hJ2Hv8MfMKI,Mbungoni Catholic Dispensary (CBHC),18043,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,3,,,,,3
C5PLq7spOnB,Mechimeru Model Health Center,16014,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,3,1,,,,,6,1,1,,,3,15
WNMTHpw5zHA,Med 25 International Kenya,17690,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,4,6,,10,1,3,2,5,1,8,3,7,50
TIMlJYy9SAV,Mediheal Hospital,15167,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,11,16,19,25,26,32,36,35,36,36,36,37,345
YCP7jFaj64F,Medina Hospital,19037,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,1,1,,,,,,,,,,,2
JFawTT0Jmxy,Meditrust Health Care Services,18040,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,1,,1,,,,2
oJcCDwp7HnM,Megwara Dispensary,15168,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,6,,,,,6
jANQ3KJg3zK,Mephi Medical Clinic,19019,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,2,,,,,,,,,,,,2
SZSRCK3TjZN,Merewet Dispensary,15177,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,2,11,9,14,10,7,3,11,67
D1sJppq7GNI,Meridian Equator Hospital,13109,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,1,,,,,,,,1
aL5ylUzJokH,Merigi Health Centre,15178,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,31,,,,31
NllZFLIZezD,Meto Dispensary,15182,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,2,,3,3,4,12
Hu1BwBlNLr6,Metropolitan Hospital Nairobi,13090,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,7,6,3,2,,4,2,,3,6,5,4,42
HqfSZCDJltF,Mewa Drop In Centre (Kilifi),21619,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,1,,,,,,,,,1
J2Twz5u5b4j,Mgange Nyika Health Centre,11603,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,3,,,,5,3,,,11
UlOy160zonh,Midida Dispensary,17342,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,1,,,2,,1,,,,2,6
q3Hiw70svzH,Midoti Dispensary,13804,situated in Suba East Division and its  a GOK Facility,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,1,,,,1
yqVCQqifDtt,Miendo Dispensary,16015,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,1,,,,,,,,,,,,1
dOTpdQwrYeN,Migori County Referral Hospital,13805,Situated in Suba Central and its a GOK Facilily,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,2,,7,1,,8,10,,1,29
xYVh11058m8,Migori GK Prison Dispensary,17728,Situated in Suba Central and its a GOK Facilily,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,21,,,,200,221
zZdbrp6Tyiv,Migosi Sub County Hospital,13807,Facility upgraded from Health Center to Sub County Hospital,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,12,4,8,1,2,3,3,7,3,1,1,45
Uo3USBvvM3j,Miguta Community Dispensary,10726,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,,,,2,2
Mi0pnaEXWh2,Migwani Sub County Hospital,12523,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,,9,,,9
PoGRaH97BVF,Mihuu Dispensary,16016,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,1,2,6,,,,,,,,,9
Ght4C4o0gse,Mijomboni Dispensary,11610,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,,,2,,2
FdzyWE8bSST,Mikindani Catholic Dispensary,11614,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,17,10,12,8,7,3,7,1,2,,6,,73
QOKaVUPEWEt,Mile 46 Health Centre,15185,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,1,,,,,,,,,,,,1
kPQ0eHv8sXA,Milo Health Centre,16018,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,1,,2,1,4
Myq1ZTOEgEg,Miluki Dispensary,16019,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,11,,,,,,,,,11
bMTnmUmmVzc,Miniambo Dispensary,16766,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,18,21,5,,,,,,,,,,44
RuVa3z3qxpv,Minyenya Health Centre,13809,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,7,9,,,,,,,,,16
ibwx3O2yztO,Miranga Sub County Hospital,13810,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,2,,,,,,1,3
qavGVyGtzJd,Mirihini Dispensary,11618,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,1,,,,,,1
WF04P1pRp2f,Miritini CDF Dispensary,11620,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,9,,,,,,,,9
DJbGPQhE93o,Miriu Health Centre,13812,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,11,,,,,,17,,,7,,,35
FL59pgqDXol,Mirogi Health Centre,13813,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,,,8,,8
ttjlT9tfGCj,Misori Dispensary,13815,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,4,3,7,15,,4,2,,,,,35
u4oYyK5yC2Y,Mission of Mercy Clinic,16020,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,7,1,,,,2,,3,,,,,13
I4rhKKyqMjo,Mitume Dispensary,18752,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,,2,2,,4
Z5NeINoTgxS,Miwani Health Centre,13816,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,1,,,,1,,,1,,3
W4iT4HvZqo1,Mlimani Dispensary,18625,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,6,,,,,,,6
oFxoGR6nj0P,Mlolongo Health Centre,18581,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,6,20,19,13,6,11,8,10,93
B0PjUV9h6dc,Mlolongo Wellness Centre,17844,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,1,6,,9,15,13,,9,12,12,12,89
U5xbK4LZeYP,Mnara Dispensary,13817,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,4,,,,,,,,1,,,,5
oXSYWYUv3SN,Modambogho Dispensary,17126,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,3,,,,,,,,3
O2EIvcf2efM,Mogogosiek Health Centre,15195,Health Centre,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,20,,,,,,,,,8,,,28
sDgMJ46sG5P,Mogori-Komasimo Health Centre,16721,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,5,3,,,,1,5,4,5,,5,5,33
Dh04YKYYrWd,Mogotio Sub County Hospital (Baringo),20005,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,11,3,2,9,1,,,,26
R4pTsCSueeh,Moi Teaching Refferal Hospital,15204,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,1710,1919,1942,2065,1874,1792,1842,1799,1775,1645,1520,1418,21301
LL12sOla54f,Moi University Health Centre,15205,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,1,1,1,1,1,1,,1,1,1,1,10
cxqZPcA0nwV,Moi's Bridge Health Centre,15209,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,102,137,125,144,180,191,194,175,185,221,256,246,2156
M7BDO72aXZy,Moiben Health Centre,15206,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,3,25,,,26,30,32,36,,47,,54,253
EiKAzXjoAYF,Mombasa Roadside Wellness Centre,18121,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,,,1,,1
qXXmA7kcfgg,Momoniat Health Centre,15219,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,12,,,,,,,,,,,,12
Vddks98p1ro,Monianku Health Centre,13821,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,1,3,,,4
uBH5mlmn9vz,Mosoriot Sub County Hospital,15229,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,7,2,,,10,,6,,,7,32
IH4gWpzva9S,Motemorabu Dispensary,13824,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,50,,,,,,,,,,50
PkV1xXi0vse,Mother Elizabeth Mugunda Dispensary,10750,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,1,,1,,,,,2
vn36KyrP17l,Moticho Health Centre,13825,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,1,,,,,,,,3,,,4
H34vj3n3xhn,MP Shah Hospital (Westlands),13098,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,5,,,,,,,,,5
fjbix53Ealz,Mpeketoni Sub-County Hospital,11649,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,4,,,,4
LMrrCJ5eIO3,Mpukoni Health Centre,12546,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,,2,,,2
nUFNIok7EwF,Msambweni County Referral Hospital,11655,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,5,,,,,,3,,,,,,8
N78kaR0mVP7,Msare Health Centre,13828,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,15,4,,,,3,,,,22
x0iSqHsozPd,Mt Elgon Sub County Hospital,16025,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,5,5,,6,,4,20
EjGDFOdiRTy,Mt Kenya (ACK) Hospital,10738,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,1,12,14,,1,3,,3,34
mdMk0zMyY5Y,Mt Kenya Sub County Hospital,10739,District Hospital,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,2,,,5,,,,7
mb35Hgy5bKe,Mtaragon Health Centre,15242,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,5,10,,,,,,,,15
UuRk6DvdifM,Mtito Andei Sub County Hospital,12547,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,12,2,,5,,3,6,5,13,3,3,8,60
IBlqC33L7rn,Mtondia Dispensary,11667,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,2,2,2,,,,,,,6
jCgLoLmPlKC,Mtongwe Dispensary,11669,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,8,,7,4,,19
XuM0h7o9wot,Mtumwa Dispensary,23134,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,2,2,,,4
VrQHTaPqMWP,Mtwapa Drop in and resource centre,22679,Near Tudor Health Care,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,12,,,,,,,,,,,12
g93vSYftyjR,Mtwapa Sub County Hospital,11672,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,3,,,,,,,23,,,18,,44
UptqVvZaPxr,Mugomari Dispensary,17597,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,,,,2,2
Qvul0TKYFSw,Muhaka Health Centre,16027,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,6,1,,,,,,,,6,13
p1xtagfLUyQ,Muhoroni County Hospital,13831,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,12,,,5,,,,17
VAElHey4wcD,Muhoroni Sugar Company (Musco) Dispensary,13832,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,2,,,,,,,,,,,,2
cLo2mMOlSkq,Muhuru Sub-County Hospital,13833,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,4,4,4,7,3,6,6,2,8,,1,,45
G4fYKBYErXO,Mukhobola Health Centre,16029,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,7,,,11,4,4,2,6,9,2,3,,48
tENZF6BO4Q7,Mukumu Hospital,16030,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,10,,,7,20,5,16,1,1,,4,2,66
Fc0JkHQA1og,Mukuru Health Centre,18463,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,24,,,,,,,,,24
hBqir19pkDS,Mukurweini Sub-county Hospital,10763,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,2,10,5,2,,,,,19
vCytWU2htrB,Mukuuni Dispensary,12563,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,1,,,,,,,,,1
UpaNvtGWEZi,Mukuyuni Dispensary,28609,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,1,,,,,,1
swdibQaVyEC,Mulaha Dispensary,13834,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,5,17,,,,,,,,,,,22
dLQjsqOgttT,Mulango (AIC) Health Centre,12566,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,1,1,1,3,,1,1,,,2,,10
