uid,mflcode,facility,level,ward,subcounty,county
JR47sh98qKk,13799,Uluthe Dispensary,5,Sigomere Ward,Ugunja Sub County,Siaya County
gWGorl4dyrC,17594,Rusinga Island of Hope Humanist Health Centre,5,Rusinga Island Ward,Mbita Sub County,Homa Bay County
WNMTHpw5zHA,17690,Young Generation Centre Dispensary (Med 25),5,Kasgunga Ward,Mbita Sub County,Homa Bay County
lesudC45gPM,17691,New Mbita Clinic,5,Rusinga Island Ward,Mbita Sub County,Homa Bay County
rsvp3dkcgmQ,17593,Remba Dispensary,5,Mfangano Island Ward,Mbita Sub County,Homa Bay County
FeUHA7ixSA6,17531,Kabura Uhuyi Dispensary,5,West Alego Ward,Alego Usonga Sub County,Siaya County
nKDcsLqOt81,17535,Nyadhi Dispensary,5,Central Alego Ward,Alego Usonga Sub County,Siaya County
xYVh11058m8,17728,Migori GK Prison Dispensary,5,Suna Central Ward,Suna East Sub County,Migori County
LWoO0Z47tGZ,17680,Osieko Dispensary,5,Bunyala South Ward,Bunyala Sub County,Busia County
m7UbpJjPOIj,17689,Viragoni Dispensary,5,Mwanamwinga Ward,Kaloleni Sub County,Kilifi County
EtY6KwqmuDN,17713,Mogonga Maternity and Nursing Home (Kenyenya),5,Bombaba Borabu Ward,Bomachoge Borabu Sub County,Kisii County
RBuEslQ9VB2,17677,Jodams Medical maternity Clinic (Kenyenya),5,Bokimonge Ward,Bomachoge Borabu Sub County,Kisii County
uiAn6utgIKS,17712,Kenyenya Medical Centre (Kenyenya),5,Bokimonge Ward,Bomachoge Borabu Sub County,Kisii County
ODRGfuyFc5e,,Mogonga Maternity and Nursing Home (Kenyenya) - Duplicate,5,Bombaba Borabu Ward,Bomachoge Borabu Sub County,Kisii County
UptqVvZaPxr,17597,Mugomari Dispensary,5,Isukha West Ward,Shinyalu Sub County,Kakamega County
jbU86Llu4O1,,Shinyalu Community Health Centre,5,Isukha Central Ward,Shinyalu Sub County,Kakamega County
kbg8aYUzgUM,17596,Shinyalu Model Health Centre,5,Isukha Central Ward,Shinyalu Sub County,Kakamega County
Aoj5i47YPTz,17055,Mwingi Medicare Centre,5,Kivou Ward,Mwingi Central Sub County,Kitui County
rzxD5SSsdYS,17738,Nyarami VCT,5,Suna Central Ward,Suna East Sub County,Migori County
EzccfHE7VSe,20568,Obware Dispensary,5,Kanyasa Ward,Nyatike Sub County,Migori County
DfEZeWKrDjn,17824,Christ The Healer,5,Isukha South Ward,Shinyalu Sub County,Kakamega County
MKUwyQVh8df,17272,Emeroka Dispensary,5,Kiamokama Ward,Nyaribari Masaba Sub County,Kisii County
OWSeGWPCdXP,17588,Kargeno VCT,5,Central Ward,Karachuonyo Sub County,Homa Bay County
IJsvzmOlTiR,17585,Integrated Development Fund (Idf) VCT,5,Kabondo West Ward,Kabondo Kasipul Sub County,Homa Bay County
Rbr4rKJad9P,17584,Yofak VCT,5,South Kasipul Ward,Rachuonyo South Sub County,Homa Bay County
W3TSKRwkyvs,17345,Ndege Oriedo Dispensary,5,East Kamagambo Ward,Rongo Sub County,Migori County
nmjT5bW3zK4,17526,Nguge Dispensary,5,West Gem Ward,Gem Sub County,Siaya County
Js2jIKhWf6P,17582,AIC Ebenezer,5,Kabarnet Ward,Baringo Central Sub County,Baringo County
WTCwVNxBCva,17492,Kabarnet Faith Clinic,5,Kabarnet Ward,Baringo Central Sub County,Baringo County
nbIgCElzcE4,17595,Kabarnet Womens' Clinic,5,Kabarnet Ward,Baringo Central Sub County,Baringo County
agoZZYNNVZG,17019,Kapkomoi Dispensary,5,Ewalel/Chapchap Ward,Baringo Central Sub County,Baringo County
nG1itz04BkW,17714,Nyaore Dispensary,5,Bogeka Ward,Kitutu Chache South Sub County,Kisii County
xcX8ftmXBDI,17678,Rikenye Dispensary (Masaba),5,Rigoma Ward,Masaba North Sub County,Nyamira County
Z1LdvOhwvQ5,17846,DICE IRDO - Mbita,5,Kasgunga Ward,Mbita Sub County,Homa Bay County
dkDsAHgijLc,17297,Mabole Health Centre,5,Marenyo-shianda Ward,Butere Sub County,Kakamega County
b2gLR55iJcf,17848,Kadvan Medical Clinic,5,Marama West Ward,Butere Sub County,Kakamega County
HPDZ8aRwjpY,17849,Vision Medical Clinic Butere,5,Marama West Ward,Butere Sub County,Kakamega County
UWRuxmyHSCV,17850,Alpha Medical Clinic (Butere),5,Marama West Ward,Butere Sub County,Kakamega County
DWC4UabXMoc,17587,Oriang VCT,5,Kabondo East Ward,Kabondo Kasipul Sub County,Homa Bay County
xJCPy2pWNtH,17853,Raphael Community Clinic,5,Marama West Ward,Butere Sub County,Kakamega County
PNrZ6dCwfLs,17852,Oyuma Dispensary (Rachuonyo),5,Central Ward,Karachuonyo Sub County,Homa Bay County
V79ezGSMpKN,17655,AIC Litein VCT,5,Litein Ward,Bureti Sub County,Kericho County
Ymc9IW5Tzgh,17656,Kapkatet Hospital VCT,5,Kapkatet Ward,Bureti Sub County,Kericho County
QCIF13H6UwH,17583,Mogonjet Dispensary,5,Mogogosiek Ward,Konoin Sub County,Bomet County
RTZe6hZlVEc,17485,Moi Baracks,5,Kamagut Ward,Turbo Sub County,Uasin Gishu County
kk9HfEl2o6z,17488,St Raphael Arch Medical,5,Tapsagoi Ward,Turbo Sub County,Uasin Gishu County
VJZMAi77Kfr,17592,Faith Clinic,5,Kapsuser Ward,Belgut Sub County,Kericho County
JsQdT0d4xet,18163,Kericho Youth Centre,5,Kipchebor Ward,Ainamoi Sub County,Kericho County
cydsug5htZ9,17589,Live With Hope Dispensary,5,Kipchebor Ward,Ainamoi Sub County,Kericho County
yWO48UIisdY,17591,Seretut Medical Clinic,5,Cheptororiet/Seretut Ward,Belgut Sub County,Kericho County
lhP9P7bkgsh,17539,Likii VCT,5,Nanyuki Ward,Laikipia East Sub County,Laikipia County
Eju1ZjNT85y,17542,Bethania Medical Centre,5,Elementaita Ward,Gilgil Sub County,Nakuru County
Y5LVmtYBunT,17544,Kentalya Medical Clinic,5,Olkaria Ward,Naivasha Sub County,Nakuru County
GIQZCaUyojN,17545,Kings Medical Clinic,5,Olkaria Ward,Naivasha Sub County,Nakuru County
NHWLQCyqt5O,17540,Lusop Medical Clinic,5,Gilgil Ward,Gilgil Sub County,Nakuru County
oxgiMQADTR8,17541,Namunyak Medical Clinic,5,Gilgil Ward,Gilgil Sub County,Nakuru County
f7F0W9ch9ha,17547,VCT (PCEA) Center,5,Viwandani Ward,Naivasha Sub County,Nakuru County
f43jOASh6N1,17546,Van Den Berg Farm Clinic,5,Olkaria Ward,Naivasha Sub County,Nakuru County
YKgFUxvYWE8,23978,EastValley Nursing Home(Naivasha),5,Lake View Ward,Naivasha Sub County,Nakuru County
Rtyqj5ShLaW,17634,University of East Africa-Baraton VCT,5,Chemundu/Kapng'etunyi Ward,Chesumei Sub County,Nandi County
vjbH3l4l2f3,17636,Chemokonja Dispensary,5,Kiptuiya Ward,Chesumei Sub County,Nandi County
g6jjdlzh7ju,17629,Cheplengu Dispensary,5,Chemundu/Kapng'etunyi Ward,Chesumei Sub County,Nandi County
iSWYUchYnlP,17626,Kabwareng Dispensary,5,Chepkumia Ward,Emgwen Sub County,Nandi County
bBR2tEjDFYQ,17640,Kamurguiywa Dispensary,5,Chemundu/Kapng'etunyi Ward,Chesumei Sub County,Nandi County
wD4Vb1ZGVBS,17635,Kapchepkok Dispensary,5,Kaptel/Kamoiywo Ward,Chesumei Sub County,Nandi County
ZyLAsGNThc4,17642,Kapkibimbir Dispensary,5,Kosirai Ward,Chesumei Sub County,Nandi County
yMp9uWSHOil,17632,Kapsabet Health Care Centre,5,Chemundu/Kapng'etunyi Ward,Chesumei Sub County,Nandi County
LO3ISbjAYOa,17631,Kapsirichoi Dispensary,5,Kilibwoni Ward,Emgwen Sub County,Nandi County
VDlISX2KCIl,17638,Kaptildil Dispensary,5,Kosirai Ward,Chesumei Sub County,Nandi County
tDnNgYvH9wL,17637,Kipsugur Dispensary,5,Kapkangani Ward,Emgwen Sub County,Nandi County
cqXX5o0Tuck,17639,Koibem Dispensary,5,Chepkumia Ward,Emgwen Sub County,Nandi County
IFlzZsNBQBq,17633,Kokwet Medical Clinic,5,Chemundu/Kapng'etunyi Ward,Chesumei Sub County,Nandi County
bqs8e8UOxMf,17465,Ndubeneti Dispensary,5,Kilibwoni Ward,Emgwen Sub County,Nandi County
GafyHF05Zx4,17641,Ngenybogurio Dispensary,5,Kapsabet Ward,Emgwen Sub County,Nandi County
AlnAYV73kvt,17481,Bonjoge Dispensary,5,Kabwareng Ward,Aldai Sub County,Nandi County
lH3dsW7xCJA,17552,Oloropil Dispensary,5,Olorropil Ward,Narok North Sub County,Narok County
n7CWDyCg200,17457,Entargeeti Dispensary,5,Shankoe Ward,Transmara West Sub County,Narok County
CY1e7GLM2dE,17568,Mt Zion Mission Medical Clinic,5,Motosiet Ward,Cherangany Sub County,Trans Nzoia County
Bgsm45Xw8xt,17569,Shekinah Medical Clinic,5,Motosiet Ward,Cherangany Sub County,Trans Nzoia County
aHZrEUYCasc,17477,Kaitese Dispensary,5,Turkwel Ward,Loima Sub County,Turkana County
ByG4pBEKa9B,17476,Kangalita Dispensary,5,Turkwel Ward,Loima Sub County,Turkana County
pAZkRgUBXe3,17475,Kangirisae Dispensary,5,Kerio Delta Ward,Turkana Central Sub County,Turkana County
joUI0Et19Mp,17480,Lochorekuyen Dispensary,5,Loima Ward,Loima Sub County,Turkana County
IQDj4EXtjkt,17479,Longech Dispensary,5,Kang'atotha Ward,Turkana Central Sub County,Turkana County
JkQi2BvsV2X,17478,Naotin Dispensary,5,Kanamkemer Ward,Turkana Central Sub County,Turkana County
ToVF7LrMcib,17513,ACK Dr Pike Roper Medical Center,5,East Sang'alo Ward,Kanduyi Sub County,Bungoma County
RyX8hu8ORWW,18111,Nzoia Medical Centre,5,Bukembe East Ward,Kanduyi Sub County,Bungoma County
bGPEFJ7WhCZ,18108,Victoria Medical Clinic,5,Township Ward,Kanduyi Sub County,Bungoma County
PPZofMWltSK,17881,Khalaba Medical Services,5,Khalaba Ward,Kanduyi Sub County,Bungoma County
OQ9TVd3E10r,17821,Kijani (Mirera) Dispensary,5,Hellsgate Ward,Naivasha Sub County,Nakuru County
D4m9AGzcm6E,17772,Kapkoros Dispensary (Tinderet),5,Kapchorua Ward,Nandi Hills Sub County,Nandi County
PUFbUoEJuKk,,Zimmerbreeze Medical Clinic,5,Zimmerman Ward,Roysambu Sub County,Nairobi County
KXdhriS958s,17801,Taunet Dispensary,5,Songhor/Soba Ward,Tinderet Sub County,Nandi County
HxpQNuXuIRd,17774,Waso AIPCA Dispensary,5,Bulla Pesa Ward,Isiolo Sub County,Isiolo County
RZWK03w2lGf,18109,Tuungane Dice,5,North Sakwa Ward,Bondo Sub County,Siaya County
X3d4OrvHkaW,18093,Our Lady of Perpetual Sisters VCT (Bondo),5,North Sakwa Ward,Bondo Sub County,Siaya County
qwkeGWo4AG6,17855,Bashal Islamic Community Health Initiative,5,Waberi Ward,Garissa Sub County,Garissa County
E3inrjp62AT,17825,Kakamega Grace  Medical Centre,5,Shirere Ward,Lurambi Sub County,Kakamega County
nbu4J2elt5H,17874,Eldoret Mtc Clinic,5,Kapsoya Ward,Ainabkoi Sub County,Uasin Gishu County
zJh1VaiwSDZ,17829,Ngelel Tarit Dispensary,5,Kaptagat Ward,Ainabkoi Sub County,Uasin Gishu County
lib0IspJmhC,17945,SOS Medical Clinic (Eldoret East),5,Kapsoya Ward,Ainabkoi Sub County,Uasin Gishu County
RH3K1gTC3mz,17944,Samoei Medical Clinic,5,Sergoit Ward,Moiben Sub County,Uasin Gishu County
INSq5Fh6r5M,17986,Sango Naitiri Dispensary,5,Naitiri/Kabuyefwe Ward,Tongaren Sub County,Bungoma County
EhaAg4fr1zh,17993,Soteni Dispensary,5,Mbakalo Ward,Tongaren Sub County,Bungoma County
UOKEv02h8eL,16077,National Youth Service Dispensary (Turbo),5,Lumakanda Ward,Lugari Sub County,Kakamega County
pVsn7nkMvBE,17910,Engos Health Centre Africa Mission Services,5,Lolgorian Ward,Transmara West Sub County,Narok County
g27gQOqTAkv,18216,Kitum Dispensary,5,Endebess Ward,Endebess Sub County,Trans Nzoia County
Bq8H9szTsYf,17994,Namanjalala Dispensary,5,Kapomboi Ward,Kwanza Sub County,Trans Nzoia County
by4cao7Jzol,17889,Withare Dispensary,5,Ngobit Ward,Laikipia East Sub County,Laikipia County
je8ofPo8I0R,17909,St John Evangelist Thome Catholic Dispensary,5,Salama Ward,Laikipia West Sub County,Laikipia County
wLm7XgmJoKw,17757,Baraka Hospital,5,Mara Ward,Narok West Sub County,Narok County
P0TgYUzeh81,17752,Ngosuani Dispensary,5,Maji Moto/Naroosura Ward,Narok South Sub County,Narok County
Q3p0yDL2X5B,17746,Endoinyo Narasha Dispensary,5,Siana Ward,Narok West Sub County,Narok County
vN2O7I20aMR,17776,Osarara Dispensary,5,Naikarra Ward,Narok West Sub County,Narok County
RF6nyloeQkK,17923,Walking With Maasai Community Health Clinic (Olorte),5,Loita Ward,Narok South Sub County,Narok County
ba1ScLkPygm,18026,Likii River Farm Dispensary,5,Nanyuki Ward,Laikipia East Sub County,Laikipia County
DKkMUpgI1At,18027,Mpalla Mobile Clinic,5,Tigithi Ward,Laikipia East Sub County,Laikipia County
HJsiunqOE5w,18029,Thome Clinic,5,Tigithi Ward,Laikipia East Sub County,Laikipia County
ye4fzfF4kAx,17787,Fountain Medical Clinic,5,Nakuru East Ward,Nakuru East Sub County,Nakuru County
r553arsDftg,17802,Olchekut Community Based Clinic,5,Narok Town Ward,Narok North Sub County,Narok County
jzItff279sZ,18011,Sisto Mazoldi Dispensary (Rongai),5,Visoi Ward,Rongai Sub County,Nakuru County
tGjtjysHEUY,19157,Kapsongoi Dispensary,5,Chaik Ward,Belgut Sub County,Kericho County
VCIQiK1o2aS,19294,Kaproret Dispensary,5,Chepchabas Ward,Konoin Sub County,Bomet County
zNHIjRzIKBU,17815,Maryland Medical Clinic,5,Bahati Ward,Nakuru North Sub County,Nakuru County
O1Wao1JYqN1,17792,Miloreni Dispensary,5,Subukia Ward,Subukia Sub County,Nakuru County
kcLVit2V5s7,17791,Ruguru Dispensary,5,Kabatini Ward,Nakuru North Sub County,Nakuru County
hVpMe6bNOGc,17790,Subati Medical Clinic,5,Subukia Ward,Subukia Sub County,Nakuru County
hLfAuC4nfua,17812,Calvary Medical Clinic,5,Lanet/Umoja Ward,Nakuru North Sub County,Nakuru County
mYP98E0p2Cj,18028,Marie Stopes Clinic (Laikipia East),5,Nanyuki Ward,Laikipia East Sub County,Laikipia County
JFawTT0Jmxy,18040,Meditrust Health Care Services,5,Kadzandani Ward,Nyali Sub County,Mombasa County
svS2VsBqqze,18062,Upendo VCT Centre,5,Homa Bay Central Ward,Homa Bay Town Sub County,Homa Bay County
hqiheo4sfk0,18063,Homa Bay Central Widows VCT,5,Homa Bay Central Ward,Homa Bay Town Sub County,Homa Bay County
RporTXQuP1d,18065,Kabirirsang Youth Centre,5,Kilibwoni Ward,Emgwen Sub County,Nandi County
Mtm38yIEso2,17671,Oldoinyo Oibor Dispensary,5,Kimana Ward,Loitokitok Sub County,Kajiado County
k2uW9sXXhin,k2uW9sXXhin,Tropical Medical Clinic,5,Kuku Ward,Loitokitok Sub County,Kajiado County
m4peQGUbHOn,18025,Nayrus Medical Clinic,5,Mji Wa Kale/Makadara Ward,Mvita Sub County,Mombasa County
vRpCcLwSDzm,18064,Kapchebwai Dispensary,5,Soin Ward,Sigowet/Soin Sub County,Kericho County
D4fYExYuVJ5,18030,Nkutuk Elmuget Dispensary,5,Wamba West Ward,Samburu East Sub County,Samburu County
B761KBCismf,11204,Airport View Medical Clinic,5,Airport Ward,Changamwe Sub County,Mombasa County
lfsSeTlkDtl,18084,Mariakani Cottage Hospital (Ongata Rongai),5,Nkaimurunya Ward,Kajiado North Sub County,Kajiado County
gJMpRxcAgyi,18097,Bondo University Clinic,5,North Sakwa Ward,Bondo Sub County,Siaya County
eyB4i0P5M1y,18100,Kakamega VCT Centre (Stand Alone),5,Shirere Ward,Lurambi Sub County,Kakamega County
u4AS2ZtNTZh,18101,Kakamega Police Line VCT,5,Shirere Ward,Lurambi Sub County,Kakamega County
kdZ4u1tqHdf,18104,Mwisho Wa Lami Medical Clinic,5,Mau Narok Ward,Njoro Sub County,Nakuru County
blB2VhYzWHu,17750,Ilkiremisho Dispensary,5,Mosiro Ward,Narok East Sub County,Narok County
urrrTFJYgKN,17985,Civil Servants Clinic (Nakuru),5,Biashara Ward,Nakuru East Sub County,Nakuru County
HiqYRakSm4q,17674,Hema Medical Clinic,5,Jepkoyai Ward,Hamisi Sub County,Vihiga County
DXDNAQjMolR,18017,St Peter's Catholic Dispensary (Ng'onyi),5,Ntima West Ward,Imenti North Sub County,Meru County
eLZiCdBXtEU,17809,Sopa Lodge Dispensary,5,Wamba West Ward,Samburu East Sub County,Samburu County
FqsoLjbSI9A,17929,Indangalasia Dispensary,5,Koyonzo Ward,Matungu Sub County,Kakamega County
wTvF9os0GY9,17931,Mirere Health Centre,5,Namamali Ward,Matungu Sub County,Kakamega County
GitgASQyYtE,17930,St Pauls Ejinja Dispensary,5,Koyonzo Ward,Matungu Sub County,Kakamega County
rtTgmcuJNJD,18113,St Antony Medical Clinic,5,Nginda Ward,Manyatta Sub County,Embu County
jdFEiACVvXX,17694,Mpeketoni Health Sevices (Witu),5,Witu Ward,Lamu West Sub County,Lamu County
jcnhHvBE9ZY,17807,St Joseph's the Worker Dispensary,5,Keekonyokie Ward,Narok East Sub County,Narok County
Nfv4EkYXdxO,17927,MCK Kiirigu Dispensary,5,Mitheru Ward,Muthambi Sub County,Tharaka Nithi County
wUd9cKV6EWh,17838,Utangwa Dispensary,5,Kithungo/Kitundu Ward,Mbooni Sub County,Makueni County
hq9w5d9gGb8,17872,Muaani Rural Health Dispensary,5,Tulimani Ward,Mbooni Sub County,Makueni County
Wu61wm1TURy,17842,Kyaluma Dispensary,5,Waia-kako Ward,Mbooni Sub County,Makueni County
v7tHjnqJp4v,17839,Mbavani Dispensary,5,Kalawa Ward,Mbooni Sub County,Makueni County
jOzfLmxxFJW,17845,Uviluni Dispensary,5,Waia-kako Ward,Mbooni Sub County,Makueni County
nQKLZ7VNHr9,17841,Waia Dispensary,5,Waia-kako Ward,Mbooni Sub County,Makueni County
UyHCkY9ULD5,17669,Busiani Medical Centre,5,Athi River Ward,Athi River Sub County,Machakos County
NsPaKQMukdz,18088,Oloosirkon Dispensary,5,Oloosirkon/Sholinke Ward,Kajiado East Sub County,Kajiado County
Ui00bALtkQv,18116,PCEA Smyrna Medical Clinic,5,Ongata Rongai Ward,Kajiado North Sub County,Kajiado County
wYcKvbonrgB,18103,Turi AIC Health Centre,5,Turi Ward,Molo Sub County,Nakuru County
oIwJZQRp5Ic,17878,PCEA Mau-Summit Health Centre,5,Kamara Ward,Kuresoi North Sub County,Nakuru County
v2vS6kVh3Cg,18130,Nehemah Clinic,5,Amalo Ward,Kuresoi South Sub County,Nakuru County
n1ohPIAvl7r,18131,Ngondu Medical Clinic,5,Kihingo Ward,Njoro Sub County,Nakuru County
Btt2n49zIB0,18086,Oriang' Alwala Dispensary,5,West Seme Ward,Seme Sub County,Kisumu County
f0w101dcErE,17741,St Michael Medical Clinic,5,Masii Ward,Mwala Sub County,Machakos County
jEsMBGNPQiG,17739,Masii Catholic Dispensary,5,Masii Ward,Mwala Sub County,Machakos County
gyN0wBpPudg,18137,A To Z Quality Health Family Health Services,5,Njoro Ward,Njoro Sub County,Nakuru County
n5BCxrg0imy,13225,St Teresa's Parish Dispensary,5,Eastleigh North Ward,Kamukunji Sub County,Nairobi County
RjJH4tax8Po,17933,St Joseph Nursing Home (Eastleigh North),5,Eastleigh North Ward,Kamukunji Sub County,Nairobi County
HVbMU0fUdrH,18141,Vicodec Medical Clinic,5,Ongata Rongai Ward,Kajiado North Sub County,Kajiado County
oYvO4rVR6jz,18142,Urafiki Medical Clinic,5,Kaputiei North Ward,Kajiado East Sub County,Kajiado County
DF7pqKnRqL0,17718,Antubangai Catholic Dispensary,5,Athiru Ruujine Ward,Igembe Central Sub County,Meru County
ab11bPaCfQe,12934,Edna Maternity,5,Eastleigh South Ward,Kamukunji Sub County,Nairobi County
G8CyKyzJRFd,18611,Lithi Clinic,5,Eastleigh South Ward,Kamukunji Sub County,Nairobi County
lVg2rhGE5yL,12865,Care Hospital,5,California Ward,Kamukunji Sub County,Nairobi County
AwQsN4Q0fRw,12916,Diani Dispensary,5,Eastleigh South Ward,Kamukunji Sub County,Nairobi County
Dy8nOI7jCEX,18594,Joy Nursing Home and Maternity,5,Airbase Ward,Kamukunji Sub County,Nairobi County
OjOnxCLQ1lM,18145,Sikusi Dispensary,5,Kabuchai/Chwele Ward,Kabuchai Sub County,Bungoma County
wTz2jroRlzU,17715,Ndoleli MCK Dispensary,5,Athiru Ruujine Ward,Igembe Central Sub County,Meru County
PaKMtCzMDnk,12883,Biafra Lions Clinic,5,Eastleigh South Ward,Kamukunji Sub County,Nairobi County
fJoTJIANnAv,17847,Alliance Medical Center,5,California Ward,Kamukunji Sub County,Nairobi County
Zo2nZIsclv5,17979,Shalom Community Hospital (Athi River),5,Athi River Ward,Athi River Sub County,Machakos County
tSXDSsQVI5p,18169,Athi Complex Community Centre,5,Athi River Ward,Athi River Sub County,Machakos County
m7EudKgOKJE,18152,East Africa Portland Cement Company Clinic,5,Athi River Ward,Athi River Sub County,Machakos County
I2AFtb3bXcm,18153,Kimutwa Medical Clinic-Athi River,5,Muthwani Ward,Athi River Sub County,Machakos County
Wcs2js7vshS,17908,Favour Primary Health Care,5,Athi River Ward,Athi River Sub County,Machakos County
NUjabhQBdG4,18155,Fanaka Medical Centre,5,Athi River Ward,Athi River Sub County,Machakos County
ZJpU4sT6rdo,18156,Noble Medical Clinic,5,Muthwani Ward,Athi River Sub County,Machakos County
ZV9TK79P41F,18157,KMC Dispensary,5,Muthwani Ward,Athi River Sub County,Machakos County
HfgeqEN5tJ8,17904,Devki Staff Clinc,5,Athi River Ward,Athi River Sub County,Machakos County
Q2wknvbUAES,18039,Asembo Bay Health Clinic (Rarieda),5,East Asembo Ward,Rarieda Sub County,Siaya County
E6bi95QMS2W,20313,Zombe Medical Clinic,5,Zombe/Mwitika Ward,Kitui East Sub County,Kitui County
EUJpFi9eVHO,12208,Kasikeu Dispensary,5,Kasikeu Ward,Kilome Sub County,Makueni County
ufQ6CGUyiTo,12878,Bahati Clinic,5,Maringo/Hamza Ward,Makadara Sub County,Nairobi County
RxZB0KhM7GK,18408,St John's Community Centre,5,Pumwani Ward,Kamukunji Sub County,Nairobi County
Stwjam6tZ4X,18217,Family Health Option of Kenya,5,Eastleigh North Ward,Kamukunji Sub County,Nairobi County
eCRyPPTMFs9,,Uon/Uom Pumwani Ccc,5,Pumwani Ward,Kamukunji Sub County,Nairobi County
y8Mv4FOBkUn,19471,IOM Wellness Clinic,5,Airbase Ward,Kamukunji Sub County,Nairobi County
oCuEULRFJsQ,,Uon Pmt,5,Nairobi Central Ward,Starehe Sub County,Nairobi County
pjEEp6cdkDK,23947,Kenya Pipeline Staff Clinic,5,Viwandani Ward,Makadara Sub County,Nairobi County
RDTDB2IKDQ5,18005,South B Hospital LTD,5,Nairobi South Ward,Starehe Sub County,Nairobi County
ZnbnGAzW4mZ,13226,St Teresa's Health Centre (Nairobi North),5,California Ward,Kamukunji Sub County,Nairobi County
C90xbsP52u7,,Closed_Duplicate_Medina Health Centre,5,Nairobi Central Ward,Starehe Sub County,Nairobi County
Bx7VeeKW0EI,24527,Kahawa West Family Medical Centre,5,Zimmerman Ward,Roysambu Sub County,Nairobi County
O5OayPfeVWC,20062,Mundika Nursing Home,5,Huruma Ward,Mathare Sub County,Nairobi County
IXiW4BiWDLD,18218,New Partner Initiative(NPI) Sasa Centre,5,California Ward,Kamukunji Sub County,Nairobi County
pk6P7fleFU8,18485,Ruaraka Uhai Neema Hospital,5,Babandogo Ward,Ruaraka Sub County,Nairobi County
EEKdchSCqh9,18743,Kariobangi EDARP,5,Kariobangi North Ward,Embakasi North Sub County,Nairobi County
KPrrw7aWcTb,18484,Kariobangi (Catholic) Dispensary,5,Kariobangi North Ward,Embakasi North Sub County,Nairobi County
db7j2E5IJpq,17951,Josma Medical Clinic (Kasarani),5,Clay City Ward,Kasarani Sub County,Nairobi County
lBBHTp1cIuw,19974,Central Bank Staff Clinic,5,Nairobi Central Ward,Starehe Sub County,Nairobi County
JqB5OUsl8dx,18146,Elis Medicare,5,Muthambi Ward,Muthambi Sub County,Tharaka Nithi County
byIrGBL0UNN,18171,Administration Police Senior Staff College Dispensary,5,Emali/Mulala Ward,Kibwezi West Sub County,Makueni County
pbID4H0Uif6,17779,Muvuko Dispensary,5,Mutomo Ward,Kitui South Sub County,Kitui County
ioGWfhJKwfA,17818,Kiimani Medical Clinic,5,Mutha Ward,Kitui South Sub County,Kitui County
lgZ01zBjk2q,18004,Kilisa Dispensary,5,Muvau/Kikumini Ward,Makueni Sub County,Makueni County
Gu8cIEc9COd,18008,Mutulani Dispensary,5,Muvau/Kikumini Ward,Makueni Sub County,Makueni County
g7WpUZ9X0Fk,17830,Cheptigit Dispensary,5,Kaptagat Ward,Ainabkoi Sub County,Uasin Gishu County
O1reUjfNtR5,18127,Mubwekas Medical Clinic,5,Bukhayo West Ward,Matayos Sub County,Busia County
KhOjFDcfVKc,18126,Busia Trailer Park Clinic,5,Burumba Ward,Matayos Sub County,Busia County
luD7OuRR6P4,17724,Mother Ippolata Mukuru Clinic,5,Imara Daima Ward,Embakasi South Sub County,Nairobi County
SZOCc0N8GHk,17918,Iiani Dispensary (Kibwezi),5,Ivingoni/Nzambani Ward,Kibwezi East Sub County,Makueni County
rTKEMarxo9Q,17919,Kalimani Dispensary,5,Mtito Andei Ward,Kibwezi East Sub County,Makueni County
pM6L7uFojJG,17685,Imara Health Centre,5,Imara Daima Ward,Embakasi South Sub County,Nairobi County
AUKciUX45L6,17861,Romieva Medical Centre Tassia,5,Embakasi Ward,Embakasi East Sub County,Nairobi County
FR5Qs4l6xLj,,Hope World Wide Kenya Mukuru Clinic,5,Kwa Njenga Ward,Embakasi South Sub County,Nairobi County
AYsyVI9BxYn,17723,St Barkita Dispensary Utawala,5,Utawala Ward,Embakasi East Sub County,Nairobi County
mDuinC2UTMh,17706,Taqwa Nursing Home,5,Moyale Township Ward,Moyale Sub County,Marsabit County
AT1TM0jgFh4,18395,Getrude Embakasi Clinic,5,Embakasi Ward,Embakasi East Sub County,Nairobi County
RVQtRwy75Wt,13191,EDARP Soweto Health Centre,5,Lower Savannah Ward,Embakasi East Sub County,Nairobi County
r13EdOxFc92,17719,EDARP Komarock Health Centre,5,Komarock Ward,Embakasi Central Sub County,Nairobi County
oe9ga94XLz2,17687,Live Well Health Clinic,5,Kayole North Ward,Embakasi Central Sub County,Nairobi County
tjRgJv8hWTF,17686,Susamed Medical Clinic,5,Kayole North Ward,Embakasi Central Sub County,Nairobi County
PcBMVnOHozA,18201,I Choose Life Africa,5,Kwa Njenga Ward,Embakasi South Sub County,Nairobi County
OdO9wls1Yt8,17744,Makoror Dispensary,5,Barwago Ward,Wajir East Sub County,Wajir County
WslXOGzxU0Z,17922,Catholic Mission Dispensary,5,Township Ward,Wajir East Sub County,Wajir County
Kf7UbwXMmNO,17743,Wajir Girls Dispensary,5,Barwago Ward,Wajir East Sub County,Wajir County
Am1v09131OO,19192,The Laare Marternity and Nursing Home,5,Ntunene Ward,Igembe North Sub County,Meru County
GsgjuCbw1LE,18006,Cargo Human Care Clinic,5,Ndenderu Ward,Kiambaa Sub County,Kiambu County
